,level_0,Country Name,Country Code,Continent,Year,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,pol_gen,exl_gen,exl_eco,exl_geo,exl_pol,exl_soc,labour_share,suffrage_f,domestic_movement,slave,suffrage,v2xeg_eqaccess,first,second,third,Composite_index,Rank
0,3848,Denmark,DNK,Europe,2018,1.0,0.374301676,0.9690000000000001,0.987,0.991,0.9420000000000001,0.992,0.986,0.85144825,1.0,0.917,0.971,1.0,0.975,0.565395928,0.395247740916608,0.5547329999999999,0.4035,1.0
1,3215,Denmark,DNK,Europe,2015,1.0,0.374301676,0.966,0.987,0.991,0.9420000000000001,0.992,0.986,0.859967688,1.0,0.917,0.971,1.0,0.976,0.565395928,0.394982250793432,0.5547329999999999,0.40341,2.0
2,3426,Denmark,DNK,Europe,2016,1.0,0.374301676,0.966,0.987,0.991,0.9420000000000001,0.992,0.986,0.855954343,1.0,0.917,0.971,1.0,0.976,0.565395928,0.394981656818372,0.5547329999999999,0.40341,3.0
3,3637,Denmark,DNK,Europe,2017,1.0,0.374301676,0.9670000000000001,0.987,0.991,0.9420000000000001,0.992,0.982,0.845116689,1.0,0.917,0.971,1.0,0.962,0.56492878,0.39427471784558,0.5547329999999999,0.40296,4.0
4,2039,Norway,NOR,Europe,2009,0.96875,0.3964497041,0.955,0.98,0.987,0.9640000000000001,0.988,0.985,0.774082705,1.0,0.935,0.927,1.0,0.975,0.566688706,0.3900212073376178,0.5547329999999999,0.40221,5.0
5,984,Norway,NOR,Europe,2004,0.94375,0.3818181818,0.9570000000000001,0.98,0.987,0.9640000000000001,0.988,0.985,0.777136765,1.0,0.935,0.927,1.0,0.975,0.566688706,0.38896713392288446,0.5547329999999999,0.40184,6.0
6,1195,Norway,NOR,Europe,2005,0.94375,0.37869822490000005,0.9570000000000001,0.98,0.987,0.9640000000000001,0.988,0.985,0.7835854240000001,1.0,0.935,0.927,1.0,0.975,0.566688706,0.38894169972895626,0.5547329999999999,0.40183,7.0
7,1406,Norway,NOR,Europe,2006,0.94375,0.37869822490000005,0.9570000000000001,0.98,0.987,0.9640000000000001,0.988,0.985,0.772551153,1.0,0.935,0.927,1.0,0.975,0.566688706,0.3889400666568482,0.5547329999999999,0.40183,8.0
8,773,Norway,NOR,Europe,2003,0.94375,0.3636363636,0.9570000000000001,0.98,0.987,0.9640000000000001,0.988,0.985,0.781454957,1.0,0.935,0.927,1.0,0.975,0.566688706,0.3888139911969648,0.5547329999999999,0.40179,9.0
9,1617,Norway,NOR,Europe,2007,0.94375,0.3609467456,0.9570000000000001,0.98,0.987,0.9640000000000001,0.988,0.985,0.7761069690000001,1.0,0.935,0.927,1.0,0.975,0.566688706,0.3887904509056968,0.5547329999999999,0.40178,10.0
